production_speed temperature pressure material_cost energy_cost quality_score profit
54.91118264 179.5417237 8.058608323 1051.782151 446.1949394 0.978619448 369.9530536
71.51893606 240.7894565 4.417225003 1145.494506 467.6681993 0.999965103 308.4518793
60.27695629 251.3131056 3.899796206 999.5842443 604.6614293 0.866669881 362.3620087
54.48831803 85.93356985 5.209360768 1026.299003 571.5121634 0.974480401 78.7581235
42.36547994 239.7201689 1.054366015 1069.836775 428.4765822 0.967152088 50.28374427
85.91747348 172.7305462 5.468780866 1085.851951 469.4367861 0.746235456 213.4164764
76.03495466 213.088163 9.133460981 1103.433793 471.6023539 0.957236797 433.3730855
13.92947469 240.466334 8.68852051 833.2434197 613.306893 0.976142385 274.2597212
25.18693596 65.58494219 4.352218399 1060.861166 517.6536911 0.891321801 -5.129434266
31.89722808 135.6749601 4.611796866 1064.608 636.2335076 0.884234927 308.8865199
68.47498664 224.4248312 9.69643926 1079.761317 534.9001271 0.950972166 354.5451399
76.39675089 167.2779508 9.400592189 1182.153305 622.1167246 0.763175364 119.9850294
53.98911076 243.4346076 5.019668885 858.1658666 425.5711886 0.967228406 459.7791345
57.16117266 295.7678653 8.074456926 1148.003401 494.2175933 0.928291226 472.0545092
80.31627244 158.5342295 7.416067639 1108.940324 758.4244557 0.842909421 -24.87420674
14.44706998 274.0747543 8.534721632 894.0902797 567.7150397 0.958998306 289.4047819
25.90628731 241.8244775 5.066778313 836.0284858 465.1264952 0.953075329 376.387415
82.73528071 143.8664939 7.617545207 907.8847117 643.6146865 0.857622771 291.8711434
38.53546346 114.341299 6.449803407 825.7058499 709.9803276 0.750446708 339.5797227
48.77543396 239.567257 6.348758649 1168.207339 567.4965763 0.951561064 359.1926456
11.87195168 242.0741853 8.177849975 974.3996992 761.9007673 0.818162259 -1.975220579
71.55780205 281.0091678 4.80040414 871.8611571 466.6226345 0.98171497 490.5111304
47.51032515 66.32421459 4.489030001 804.3583529 618.3758877 0.875055649 247.6997641
79.12158144 133.3924715 4.064734666 884.8786849 642.0621866 0.904103461 297.7128747
53.34868087 201.3446131 3.446445882 1003.166448 732.0056086 0.833167918 309.2242357
18.31330155 155.5218994 7.628584558 1185.452367 436.047619 0.873637955 304.8863478
45.66571728 66.0027555 9.447544487 894.8160197 644.6263267 0.744767515 25.55637982
39.43447296 187.9386631 9.893774934 902.1598812 624.8352145 0.843283682 383.3812305
28.27586307 296.6934724 6.434279356 854.7755772 648.684567 0.920094789 483.1847303
41.975103 190.0252376 9.280770249 901.579464 546.6568066 0.829891003 339.0230801
43.76826839 57.49052889 6.967870385 856.4012138 599.4501594 0.952892193 126.1334254
96.36627681 226.1776164 4.213405874 1070.258915 499.815286 0.940947562 466.9355588
83.58174756 179.937036 9.886229922 956.2850515 655.9939028 0.99462781 265.0430819
15.35308582 269.996044 1.247974651 1054.075185 768.6253546 0.988868905 -2.635018295
62.97676293 76.39012413 3.566152964 1041.576125 552.2124039 0.970568244 -11.22243641
48.34350586 234.6771789 1.987727461 1181.779023 566.9120996 0.904357001 432.7066177
67.46616259 213.9842389 5.504844849 1164.245836 462.7996513 0.855791363 364.0424595
10.52317686 74.37266589 8.095194058 862.8272331 647.5080997 0.818816526 150.2184908
60.10498222 186.3622185 1.341789874 1116.463454 538.0861565 0.895456451 281.681822
64.95834815 184.8549339 1.293352653 1112.138641 422.6827245 0.826645166 237.6294509
19.3550272 87.08943912 3.315729927 843.6867794 758.8362956 0.947896157 210.0494361
32.12090665 223.3010723 8.830990815 969.5186407 440.9051145 0.994816823 445.8148647
85.41401117 146.6167376 9.956712182 933.2028146 659.580474 0.99666379 251.183177
37.58217735 68.22461701 6.733699831 868.6816996 450.2597317 0.744756622 120.6410293
82.13889981 255.8220343 3.940168726 972.5815423 784.7583836 0.903782861 306.5554285
18.75313411 138.8499074 5.105361839 819.1548095 782.3010442 0.742675583 79.69250702
94.22924891 237.7644613 5.42891499 1001.225199 546.760588 0.813694679 397.1554669
62.65733724 111.7796894 9.657377406 1108.998301 783.6417473 0.86101309 -45.66120028
76.53042522 97.14269864 6.954556538 875.9644473 780.4150894 0.910909935 -9.642073724
73.15779568 88.69334009 5.21798556 898.6471121 486.0184008 0.769286896 -13.60225114
70.05972275 274.4705861 5.523565771 973.0651011 442.9676466 0.934053732 467.9677335
48.60916462 202.4684505 1.478004235 1118.562849 677.4736262 0.866851024 301.3139063
28.34913276 63.62625348 3.50828241 1083.983442 589.7013252 0.965981287 126.9363617
90.57969591 236.1736418 2.988874092 1048.563346 579.6797201 0.877734926 425.0356876
77.14628413 208.2388983 8.010160193 1109.666239 622.3503733 0.803711096 341.3780066
93.56292588 55.17052117 6.019368698 945.9411771 585.8125287 0.931946465 -10.44236812
59.326041 286.9802806 8.251646644 972.1438708 469.9707924 0.911544552 465.264018
89.29981551 246.6357849 9.833502048 807.1781698 644.3352571 0.910454007 483.5487713
64.62547129 200.5997447 8.41000231 1080.723842 694.5956542 0.943371746 264.7935218
11.31417635 237.6515345 5.209654424 944.0322388 770.121703 0.877609122 292.2528938
62.73956995 280.7347625 7.84236128 1157.95518 597.8918928 0.877129902 463.6741078
67.00148998 248.0123615 7.856227801 894.2904156 687.938871 0.999891835 481.0102327
74.2107136 229.2143791 1.303436967 1063.997039 657.6651498 0.984314914 393.6437114
54.84922498 263.3248244 1.907261716 1005.696757 427.476701 0.820336117 373.987454
38.53316071 227.1414112 9.74685041 1119.114396 415.8793737 0.848593839 373.5923489
73.84700115 210.2103654 6.387894079 1145.090054 601.0659075 0.901942239 344.4731203
87.93149308 85.77726542 8.838332631 1184.297646 778.8639765 0.987058665 -34.23089272
40.63128901 178.7133133 7.180562884 875.6350823 718.0285117 0.873829562 262.296649
68.48962665 265.0757268 7.023114567 1062.387729 571.3708818 0.795780034 459.4079987
76.96355758 211.4888386 8.044138818 1199.311311 676.6779032 0.941022792 295.2720456
34.40073772 155.2778289 7.477134059 1122.387891 679.2225695 0.73756544 208.7626553
19.0970724 243.5577629 5.15308781 1042.214106 573.6167065 0.796954614 343.3508707
10.47604743 235.1674266 5.686162992 905.0054153 470.9788184 0.865742945 381.5292283
29.85233855 289.9722308 6.674079379 1145.677801 555.189045 0.854912915 447.5569235
41.15333794 98.04796103 6.280989945 876.1500666 486.4529911 0.921543848 -25.44482613
91.97296142 189.625015 3.486885631 907.7561278 508.1786824 0.763960411 335.162289
48.423351 279.1633748 9.51431084 1012.280137 661.9485969 0.987257751 405.6897979
85.11016016 186.324359 3.113255012 1158.696494 495.0336805 0.746859043 313.309136
78.63311169 260.1404236 8.085066247 971.5647882 607.8062484 0.912665715 453.2690746
83.57208377 134.387163 5.32314461 815.3619996 664.6808567 0.85594542 211.025507
39.52251047 129.4350543 8.289537241 909.979519 451.302169 0.924478109 207.0594044
58.6819024 235.7014516 6.803485773 821.1736537 639.899892 0.993549025 466.1306867
58.06815081 176.7961157 9.313567138 1039.831871 597.1656647 0.979955627 310.8992215
95.73529806 99.19392403 5.321048294 1042.433495 742.3155767 0.983266317 -39.03549234
24.04957918 239.6966083 7.723514045 1015.769381 554.2038868 0.925243723 412.8827595
13.39890813 141.8563483 7.876321984 933.1509331 636.7279875 0.769959702 251.1968858
50.50954997 125.2941144 5.046858375 998.2945668 480.4322005 0.947058894 127.7097568
29.21147657 208.0688184 8.716243424 1153.256609 713.6585763 0.811172397 248.5137506
71.04408313 174.8425179 5.057088683 869.4286271 666.6889904 0.846818157 313.2180726
15.06124302 77.17131403 8.207455276 1148.173512 471.3237339 0.922415517 151.3090525
84.27778453 266.2447614 7.238869456 1117.256168 704.5821674 0.758469704 452.6264633
93.32431312 104.9527315 2.878088545 914.2847166 621.2191467 0.960234075 -11.14242555
36.64775642 110.0851251 6.697201882 991.050255 602.0988226 0.834862759 77.21120625
53.66491767 109.8773208 5.944471336 854.575454 621.3964929 0.849643926 154.1425849
53.77974669 193.5185374 9.557356489 1191.958173 536.7968234 0.759248058 338.3799341
23.87277224 54.39205073 4.098884488 1188.498677 440.0669371 0.917511424 -28.06916073
91.30520417 236.9467758 1.98753977 1064.877685 419.3158819 0.914634477 399.322324
14.68890024 212.6705182 3.116349254 972.4243781 553.6778614 0.872599401 303.5245331
92.9004839 134.2069418 8.011773635 1028.130516 461.6131025 0.796628984 229.9274495
99.72187817 55.0222566 9.309203092 1088.39200932 96.934939 330.09343409 -21.9302902
